intralipid,ink,690us,a690,minR1R2,intensity/time ink 0 is different 
72,0,0.826552807,0.000556593,1.30E-05,minR1R2 is scaled
72,0.4,0.918287181,0.006332997,5.84E-06,
72,0.4,0.826385184,0.003689807,4.17E-06,
72,0.8,0.918100991,0.009252951,2.51E-06,
72,0.8,0.826217628,0.00682175,2.36E-06,
72,1.2,0.917914877,0.01217172,1.16E-06,
72,1.2,0.82605014,0.009952423,1.57E-06,
72,1.6,0.917728838,0.015089306,4.08E-07,
72,1.6,0.82588272,0.013081828,6.93E-07,
72,2,0.917542875,0.018005709,6.73E-09,
72,2,0.825715368,0.016209964,4.06E-07,
72,2.4,0.917356987,0.020920929,-2.82E-07,
72,2.4,0.825548083,0.019336833,1.81E-07,
72,2.8,0.917171174,0.023834968,-2.07E-07,
72,2.8,0.825380867,0.022462435,-1.52E-07,
90,0,1.023845563,0.000574254,7.55E-06,see folder data 1
90,0.4,1.023639806,0.00367913,3.83E-06,
90,0.8,1.023434132,0.006782757,1.49E-06,
90,1.2,1.023228541,0.009885138,5.18E-07,
90,1.5,1.023074401,0.012211106,2.23E-07,
90,1.6,1.023023032,0.012986273,2.94E-07,
90,2,1.022817605,0.016086162,-2.19E-08,
90,2.4,1.022612262,0.019184806,-1.10E-07,
90,2.8,1.022407,0.022282207,-1.60E-07,
90,3,1.0223044,0.023830441,-2.57E-07,
90,4.5,1.021535558,0.035432299,-6.51E-07,
117,0.8,1.312661548,0.006725573,8.48E-07,
117,1.6,1.312141321,0.012846135,-2.96E-08,
117,2.4,1.311621507,0.018961848,-3.09E-07,
117,2.8,1.311361754,0.022017888,-2.98E-07,
126,1.6,1.406802988,0.012800252,-1.24E-07,
144,0,1.594874888,0.000625373,7.49E-06,
144,0.4,1.594562841,0.003648227,1.42E-06,
144,0.8,1.594250915,0.006669899,-6.14E-08,
144,1.2,1.593939112,0.009690389,-1.59E-07,
144,1.6,1.593627431,0.012709697,-5.14E-07,
144,2,1.593315871,0.015727825,-1.01E-06,
144,2.4,1.593004433,0.018744773,-8.55E-07,
144,2.8,1.592693117,0.021760542,-4.27E-07,
90,0.4,1.137478418,0.006302329,3.49E-06,data2
90,0.8,1.137249871,0.00919619,1.36E-06,
90,1.2,1.137021416,0.012088888,3.05E-07,
90,1.5,1.136850135,0.014257649,1.02E-07,
90,1.6,1.136793053,0.014980424,4.30E-08,
90,2,1.136564781,0.017870798,-5.55E-07,
90,2.4,1.136336601,0.02076001,-6.18E-07,
90,2.8,1.136108512,0.023648062,-7.05E-07,
117,0.4,1.458931375,0.006257341,1.88E-06,
117,0.8,1.458642163,0.009112927,2.44E-07,
117,1.2,1.458353065,0.01196738,-1.41E-07,
117,1.6,1.458064082,0.014820701,-5.23E-07,
117,2,1.457775214,0.017672891,-5.37E-07,
117,2.4,1.45748646,0.02052395,-7.42E-07,
117,2.8,1.45719782,0.023373879,-9.97E-07,
126,0.4,1.564178771,0.006242608,1.81E-06,
126,0.8,1.563870072,0.00908566,1.09E-07,
126,1.2,1.563561494,0.011927588,-2.93E-07,
126,1.6,1.563253039,0.014768395,-7.11E-07,
126,2,1.562944705,0.01760808,-6.90E-07,
126,2.4,1.562636492,0.020446644,-7.01E-07,
126,2.8,1.562328402,0.023284088,-7.48E-07,
144,0.4,1.771893597,0.006213528,1.16E-06,
144,0.8,1.771546982,0.009031837,-3.20E-07,
144,1.2,1.771200503,0.011849044,-5.87E-07,
144,1.6,1.77085416,0.014665147,-5.14E-07,
144,2,1.770507952,0.017480149,-8.37E-07,
144,2.4,1.770161879,0.020294049,-8.55E-07,
144,2.8,1.769815942,0.023106848,-8.37E-07,
