intralipid,ink,minR1R2,690us,a690
72,0,4169,0.826552807,0.000556593
72,0.4,2419,0.826385184,0.003689807
72,0.8,1651,0.826217628,0.00682175
72,1.2,1312,0.82605014,0.009952423
72,1.6,1161,0.82588272,0.013081828
72,2,1044,0.825715368,0.016209964
72,2.4,984,0.825548083,0.019336833
72,2.8,965,0.825380867,0.022462435
90,0,3684,1.023845563,0.000574254
90,0.4,1996,1.023639806,0.00367913
90,0.8,1415,1.023434132,0.006782757
90,1.2,1152,1.023228541,0.009885138
90,1.5,1105,1.023074401,0.012211106
90,1.6,1051,1.023023032,0.012986273
90,2,933,1.022817605,0.016086162
90,2.4,937,1.022612262,0.019184806
90,2.8,929,1.022407,0.022282207
117,0,2845,1.313182187,0.000600156
117,0.4,1590,1.312921816,0.003663472
117,0.8,1148,1.312661548,0.006725573
117,1.2,1046,1.312401383,0.009786461
117,1.6,990,1.312141321,0.012846135
117,2,937,1.311881363,0.015904598
117,2.4,919,1.311621507,0.018961848
117,2.8,888,1.311361754,0.022017888
126,0,2695,1.407913987,0.000608636
126,0.4,1482,1.407636073,0.003658345
126,0.8,1158,1.407358268,0.00670685
126,1.2,1013,1.407080573,0.009754152
126,1.6,910,1.406802988,0.012800252
126,2,917,1.406525512,0.01584515
126,2.4,900,1.406248145,0.018888848
126,2.8,896,1.405970888,0.021931345
144,0,2510,1.594874888,0.000625373
144,0.4,1368,1.594562841,0.003648227
144,0.8,1078,1.594250915,0.006669899
144,1.2,979,1.593939112,0.009690389
144,1.6,946,1.593627431,0.012709697
144,2,865,1.593315871,0.015727825
144,2.4,896,1.593004433,0.018744773
144,2.8,883,1.592693117,0.021760542
